No of Persons Voted,Duration_Min,Drama,Genre_Count,Description_Word_Count,Description_Char_Count,Written_by_freq,No of Persons Voted_Log,Release_Year,Film_Age,Release_Decade,Rating
57.0,108.0,0.0,1.0,27.0,148.0,1.0,4.060443010546419,2013.0,12.0,2010.0,7.9
309.0,124.0,1.0,5.0,32.0,173.0,5.0,5.736572297479192,2023.0,2.0,2020.0,7.8
6.0,122.0,1.0,2.0,44.0,292.0,2.0,1.9459101490553132,2018.0,7.0,2010.0,7.7
75.0,82.0,1.0,2.0,79.0,484.0,4.0,4.330733340286331,2015.0,10.0,2010.0,7.0
217.0,82.0,1.0,1.0,33.0,200.0,1.0,5.384495062789089,2014.0,11.0,2010.0,7.5
54.0,113.0,0.0,2.0,47.0,330.0,1.0,4.007333185232471,2022.0,3.0,2020.0,8.9
33.0,90.0,1.0,2.0,48.0,301.0,1.0,3.5263605246161616,2000.0,25.0,2000.0,7.2
1821.0,126.0,1.0,3.0,103.0,631.0,1.0,7.507690077819904,2013.0,12.0,2010.0,8.6
113.0,90.0,1.0,7.0,118.0,657.0,1.0,4.736198448394496,2008.0,17.0,2000.0,7.8
25.0,0.0,1.0,3.0,51.0,288.0,1.0,3.258096538021482,2022.0,3.0,2020.0,7.3
13.0,120.0,1.0,1.0,92.0,541.0,1.0,2.6390573296152584,2021.0,4.0,2020.0,6.7
101.0,99.0,0.0,3.0,129.0,739.0,1.0,4.624972813284271,2018.0,7.0,2010.0,8.5
555.0,119.0,1.0,4.0,132.0,777.0,1.0,6.320768294250582,2018.0,7.0,2010.0,7.8
51.0,112.0,1.0,1.0,58.0,360.0,1.0,3.9512437185814275,1997.0,28.0,1990.0,7.8
35.0,193.0,1.0,4.0,17.0,112.0,1.0,3.58351893845611,1983.0,42.0,1980.0,8.0
20.0,90.0,0.0,1.0,22.0,152.0,2.0,3.044522437723423,2011.0,14.0,2010.0,8.1
34.0,101.0,0.0,3.0,38.0,257.0,1.0,3.5553480614894135,2013.0,12.0,2010.0,6.7
362.0,80.0,1.0,2.0,20.0,134.0,2.0,5.8944028342648505,2004.0,21.0,2000.0,8.7
38.0,130.0,0.0,4.0,109.0,675.0,1.0,3.6635616461296463,2024.0,1.0,2020.0,7.2
151.0,121.0,1.0,3.0,92.0,587.0,5.0,5.0238805208462765,2022.0,3.0,2020.0,7.7
1327.0,169.0,1.0,2.0,45.0,246.0,2.0,7.191429330036379,1998.0,27.0,1990.0,8.8
325.0,133.0,1.0,3.0,41.0,245.0,7.0,5.786897381366708,2021.0,4.0,2020.0,6.6
130.0,118.0,1.0,3.0,111.0,628.0,1.0,4.875197323201151,2016.0,9.0,2010.0,8.3
77.0,112.0,1.0,4.0,14.0,85.0,3.0,4.356708826689592,1992.0,33.0,1990.0,7.5
132.0,122.0,1.0,2.0,62.0,393.0,8.0,4.890349128221754,2020.0,5.0,2020.0,7.0
4420.0,120.0,0.0,4.0,95.0,519.0,1.0,8.394121193826242,2015.0,10.0,2010.0,8.5
4.0,105.0,1.0,3.0,44.0,274.0,1.0,1.6094379124341003,1972.0,53.0,1970.0,8.8
